,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,,0.011,https://api.spotify.com/v1/audio-analysis/0DieEBcn0UbJ4HYM4wN7ot,0.61,338818.0,0.993,0DieEBcn0UbJ4HYM4wN7ot,0.371,8.0,0.103,-4.553,1.0,0.127,149.999,4.0,https://api.spotify.com/v1/tracks/0DieEBcn0UbJ4HYM4wN7ot,audio_features,spotify:track:0DieEBcn0UbJ4HYM4wN7ot,0.192
17,,0.489,https://api.spotify.com/v1/audio-analysis/32tQKwfqmHu7uN56I30cHC,0.515,181200.0,0.885,32tQKwfqmHu7uN56I30cHC,0.549,6.0,0.361,-4.949,1.0,0.0374,149.971,4.0,https://api.spotify.com/v1/tracks/32tQKwfqmHu7uN56I30cHC,audio_features,spotify:track:32tQKwfqmHu7uN56I30cHC,0.407
18,,0.031,https://api.spotify.com/v1/audio-analysis/09NjhfSj1igDi8pDri23DM,0.538,393950.0,0.859,09NjhfSj1igDi8pDri23DM,0.443,7.0,0.0961,-8.236,0.0,0.0381,154.998,4.0,https://api.spotify.com/v1/tracks/09NjhfSj1igDi8pDri23DM,audio_features,spotify:track:09NjhfSj1igDi8pDri23DM,0.276
19,,0.0043,https://api.spotify.com/v1/audio-analysis/6HqHVXKZDEm3OrAYd7AVkK,0.459,199761.0,0.883,6HqHVXKZDEm3OrAYd7AVkK,6.45e-06,9.0,0.167,-3.436,1.0,0.0364,149.952,4.0,https://api.spotify.com/v1/tracks/6HqHVXKZDEm3OrAYd7AVkK,audio_features,spotify:track:6HqHVXKZDEm3OrAYd7AVkK,0.4
20,,0.00109,https://api.spotify.com/v1/audio-analysis/5eMkyHPuFH3SLIMVhAYbV4,0.481,244589.0,0.847,5eMkyHPuFH3SLIMVhAYbV4,0.686,9.0,0.122,-7.56,0.0,0.0553,150.003,4.0,https://api.spotify.com/v1/tracks/5eMkyHPuFH3SLIMVhAYbV4,audio_features,spotify:track:5eMkyHPuFH3SLIMVhAYbV4,0.134
21,,0.00604,https://api.spotify.com/v1/audio-analysis/5WTmrixfzOiavoZr5JzEv4,0.469,310413.0,0.867,5WTmrixfzOiavoZr5JzEv4,0.00335,5.0,0.104,-3.497,0.0,0.0571,149.954,4.0,https://api.spotify.com/v1/tracks/5WTmrixfzOiavoZr5JzEv4,audio_features,spotify:track:5WTmrixfzOiavoZr5JzEv4,0.398
22,,7.84e-05,https://api.spotify.com/v1/audio-analysis/0zdRtC43E7CdMfhpo2mru9,0.48,235355.0,0.959,0zdRtC43E7CdMfhpo2mru9,1.7e-06,6.0,0.0832,-4.706,0.0,0.116,154.999,4.0,https://api.spotify.com/v1/tracks/0zdRtC43E7CdMfhpo2mru9,audio_features,spotify:track:0zdRtC43E7CdMfhpo2mru9,0.291
23,,0.000816,https://api.spotify.com/v1/audio-analysis/7DeNPlcwCgUYpcAWGAgjnl,0.756,137600.0,0.979,7DeNPlcwCgUYpcAWGAgjnl,0.136,11.0,0.292,-3.34,1.0,0.267,150.089,4.0,https://api.spotify.com/v1/tracks/7DeNPlcwCgUYpcAWGAgjnl,audio_features,spotify:track:7DeNPlcwCgUYpcAWGAgjnl,0.115
24,,0.0782,https://api.spotify.com/v1/audio-analysis/1CCQRvvG9AFfJ39FqoJZSf,0.524,222400.0,0.885,1CCQRvvG9AFfJ39FqoJZSf,2.53e-05,4.0,0.126,-3.686,0.0,0.0387,149.896,4.0,https://api.spotify.com/v1/tracks/1CCQRvvG9AFfJ39FqoJZSf,audio_features,spotify:track:1CCQRvvG9AFfJ39FqoJZSf,0.186
25,,0.0122,https://api.spotify.com/v1/audio-analysis/7oNXfMTlUFjzQW1BCPXW46,0.48,199212.0,0.937,7oNXfMTlUFjzQW1BCPXW46,0.000404,5.0,0.704,-3.513,1.0,0.0393,150.002,4.0,https://api.spotify.com/v1/tracks/7oNXfMTlUFjzQW1BCPXW46,audio_features,spotify:track:7oNXfMTlUFjzQW1BCPXW46,0.184
26,,0.00654,https://api.spotify.com/v1/audio-analysis/4Vz0dLAtdES8zp6oRESugF,0.459,220587.0,0.773,4Vz0dLAtdES8zp6oRESugF,8.16e-05,7.0,0.182,-5.081,1.0,0.0598,150.115,4.0,https://api.spotify.com/v1/tracks/4Vz0dLAtdES8zp6oRESugF,audio_features,spotify:track:4Vz0dLAtdES8zp6oRESugF,0.323
27,,0.0101,https://api.spotify.com/v1/audio-analysis/2Xw9nJ8YyJ3TEKfHOlGyZX,0.522,188000.0,0.942,2Xw9nJ8YyJ3TEKfHOlGyZX,0.0933,4.0,0.35,-4.691,1.0,0.0498,74.996,4.0,https://api.spotify.com/v1/tracks/2Xw9nJ8YyJ3TEKfHOlGyZX,audio_features,spotify:track:2Xw9nJ8YyJ3TEKfHOlGyZX,0.305
28,,0.00972,https://api.spotify.com/v1/audio-analysis/4KbjcSqYGv2LPD4L6zQcO0,0.519,271577.0,0.936,4KbjcSqYGv2LPD4L6zQcO0,0.000653,3.0,0.348,-3.748,1.0,0.0494,147.952,4.0,https://api.spotify.com/v1/tracks/4KbjcSqYGv2LPD4L6zQcO0,audio_features,spotify:track:4KbjcSqYGv2LPD4L6zQcO0,0.796
