,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,,0.206,https://api.spotify.com/v1/audio-analysis/7F2rlefRjAeQAip2lfYXf0,0.638,227486.0,0.788,7F2rlefRjAeQAip2lfYXf0,0.191,8.0,0.0611,-8.192,0.0,0.0358,122.993,4.0,https://api.spotify.com/v1/tracks/7F2rlefRjAeQAip2lfYXf0,audio_features,spotify:track:7F2rlefRjAeQAip2lfYXf0,0.284
17,,0.00328,https://api.spotify.com/v1/audio-analysis/4cn2oPfhfpI3Q5UGF9Q8mN,0.706,141361.0,0.719,4cn2oPfhfpI3Q5UGF9Q8mN,0.000271,0.0,0.223,-6.966,1.0,0.0283,123.958,4.0,https://api.spotify.com/v1/tracks/4cn2oPfhfpI3Q5UGF9Q8mN,audio_features,spotify:track:4cn2oPfhfpI3Q5UGF9Q8mN,0.277
18,,0.0966,https://api.spotify.com/v1/audio-analysis/3mUN3ODbYMtF34rk68aAuX,0.704,195331.0,0.907,3mUN3ODbYMtF34rk68aAuX,0.721,8.0,0.168,-6.027,0.0,0.0476,126.029,4.0,https://api.spotify.com/v1/tracks/3mUN3ODbYMtF34rk68aAuX,audio_features,spotify:track:3mUN3ODbYMtF34rk68aAuX,0.556
19,,0.0606,https://api.spotify.com/v1/audio-analysis/5tmHc2HW2xaMkUmI4s15nC,0.695,166667.0,0.731,5tmHc2HW2xaMkUmI4s15nC,0.0,10.0,0.317,-7.114,1.0,0.199,126.066,4.0,https://api.spotify.com/v1/tracks/5tmHc2HW2xaMkUmI4s15nC,audio_features,spotify:track:5tmHc2HW2xaMkUmI4s15nC,0.556
20,,0.0548,https://api.spotify.com/v1/audio-analysis/48fzVg5tLc7DII84diRCUO,0.769,187931.0,0.654,48fzVg5tLc7DII84diRCUO,0.00691,5.0,0.145,-8.27,0.0,0.0709,121.969,4.0,https://api.spotify.com/v1/tracks/48fzVg5tLc7DII84diRCUO,audio_features,spotify:track:48fzVg5tLc7DII84diRCUO,0.441
21,,0.047,https://api.spotify.com/v1/audio-analysis/11ra4Y7CUE7lAJZOXkmGSA,0.801,162664.0,0.798,11ra4Y7CUE7lAJZOXkmGSA,0.01,11.0,0.079,-4.942,0.0,0.0502,121.974,4.0,https://api.spotify.com/v1/tracks/11ra4Y7CUE7lAJZOXkmGSA,audio_features,spotify:track:11ra4Y7CUE7lAJZOXkmGSA,0.378
22,,0.31,https://api.spotify.com/v1/audio-analysis/5xB5b4L2jOylbYhSf15PTq,0.793,191785.0,0.547,5xB5b4L2jOylbYhSf15PTq,9.06e-05,7.0,0.074,-7.747,0.0,0.0816,124.025,4.0,https://api.spotify.com/v1/tracks/5xB5b4L2jOylbYhSf15PTq,audio_features,spotify:track:5xB5b4L2jOylbYhSf15PTq,0.413
23,,0.324,https://api.spotify.com/v1/audio-analysis/7a7FMaC8Kaayk2xYYlzFHS,0.728,199906.0,0.703,7a7FMaC8Kaayk2xYYlzFHS,0.183,2.0,0.0978,-10.794,1.0,0.0436,119.976,4.0,https://api.spotify.com/v1/tracks/7a7FMaC8Kaayk2xYYlzFHS,audio_features,spotify:track:7a7FMaC8Kaayk2xYYlzFHS,0.0371
24,,0.00441,https://api.spotify.com/v1/audio-analysis/17bGtGqqaXOgVnhnfx5NlE,0.641,211452.0,0.529,17bGtGqqaXOgVnhnfx5NlE,0.000862,6.0,0.0809,-11.536,1.0,0.0288,121.027,4.0,https://api.spotify.com/v1/tracks/17bGtGqqaXOgVnhnfx5NlE,audio_features,spotify:track:17bGtGqqaXOgVnhnfx5NlE,0.449
25,,0.309,https://api.spotify.com/v1/audio-analysis/1SWC2QO7JQJdRH7QqFy3vl,0.79,160000.0,0.633,1SWC2QO7JQJdRH7QqFy3vl,0.138,5.0,0.144,-7.616,0.0,0.0401,122.976,4.0,https://api.spotify.com/v1/tracks/1SWC2QO7JQJdRH7QqFy3vl,audio_features,spotify:track:1SWC2QO7JQJdRH7QqFy3vl,0.833
