,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,,0.00505,https://api.spotify.com/v1/audio-analysis/36agzt9XlaGH80xov2D5PU,0.639,230060.0,0.915,36agzt9XlaGH80xov2D5PU,0.0415,1.0,0.0992,-3.67,1.0,0.135,112.451,3.0,https://api.spotify.com/v1/tracks/36agzt9XlaGH80xov2D5PU,audio_features,spotify:track:36agzt9XlaGH80xov2D5PU,0.0827
17,,0.505,https://api.spotify.com/v1/audio-analysis/4mBTCSCNXgLthovGvqKleg,0.49,217043.0,0.551,4mBTCSCNXgLthovGvqKleg,0.458,3.0,0.103,-9.213,1.0,0.0289,114.994,4.0,https://api.spotify.com/v1/tracks/4mBTCSCNXgLthovGvqKleg,audio_features,spotify:track:4mBTCSCNXgLthovGvqKleg,0.151
18,,0.262,https://api.spotify.com/v1/audio-analysis/5wsZ9fE3f06lrbYeS6A2Oq,0.622,208933.0,0.962,5wsZ9fE3f06lrbYeS6A2Oq,0.000104,1.0,0.174,-4.402,1.0,0.107,144.893,4.0,https://api.spotify.com/v1/tracks/5wsZ9fE3f06lrbYeS6A2Oq,audio_features,spotify:track:5wsZ9fE3f06lrbYeS6A2Oq,0.464
19,,0.0416,https://api.spotify.com/v1/audio-analysis/0yVJ2s9pKr99QKX9e5Ra6L,0.671,308571.0,0.311,0yVJ2s9pKr99QKX9e5Ra6L,0.861,11.0,0.384,-12.271,1.0,0.0609,140.028,4.0,https://api.spotify.com/v1/tracks/0yVJ2s9pKr99QKX9e5Ra6L,audio_features,spotify:track:0yVJ2s9pKr99QKX9e5Ra6L,0.0781
20,,0.0455,https://api.spotify.com/v1/audio-analysis/0lZORz16mfVk3NW58tguYS,0.733,250579.0,0.497,0lZORz16mfVk3NW58tguYS,0.843,10.0,0.269,-10.879,1.0,0.0886,139.973,4.0,https://api.spotify.com/v1/tracks/0lZORz16mfVk3NW58tguYS,audio_features,spotify:track:0lZORz16mfVk3NW58tguYS,0.194
21,,0.00481,https://api.spotify.com/v1/audio-analysis/558dmcqBAPeA7q4GvaunHy,0.475,224973.0,0.838,558dmcqBAPeA7q4GvaunHy,0.0,1.0,0.304,-2.948,0.0,0.0666,127.921,4.0,https://api.spotify.com/v1/tracks/558dmcqBAPeA7q4GvaunHy,audio_features,spotify:track:558dmcqBAPeA7q4GvaunHy,0.254
22,,0.0115,https://api.spotify.com/v1/audio-analysis/3wWJ1PBkXw42qtgtJxyLxT,0.508,185143.0,0.913,3wWJ1PBkXw42qtgtJxyLxT,0.0242,9.0,0.0993,-1.152,1.0,0.115,70.075,4.0,https://api.spotify.com/v1/tracks/3wWJ1PBkXw42qtgtJxyLxT,audio_features,spotify:track:3wWJ1PBkXw42qtgtJxyLxT,0.072
23,,0.0262,https://api.spotify.com/v1/audio-analysis/0Z2M57kkZZUdWqUFQ2PVi7,0.591,181108.0,0.614,0Z2M57kkZZUdWqUFQ2PVi7,0.234,1.0,0.622,-3.783,1.0,0.0997,140.018,4.0,https://api.spotify.com/v1/tracks/0Z2M57kkZZUdWqUFQ2PVi7,audio_features,spotify:track:0Z2M57kkZZUdWqUFQ2PVi7,0.382
24,,0.0326,https://api.spotify.com/v1/audio-analysis/1RBJECkzO2aCE14UstrlM5,0.817,288001.0,0.618,1RBJECkzO2aCE14UstrlM5,0.78,1.0,0.1,-9.778,1.0,0.175,140.02,4.0,https://api.spotify.com/v1/tracks/1RBJECkzO2aCE14UstrlM5,audio_features,spotify:track:1RBJECkzO2aCE14UstrlM5,0.0391
25,,0.00116,https://api.spotify.com/v1/audio-analysis/4NjnUgoNyyS1N1EuUpBNBX,0.552,202839.0,0.818,4NjnUgoNyyS1N1EuUpBNBX,0.0383,9.0,0.306,-1.827,0.0,0.203,77.508,4.0,https://api.spotify.com/v1/tracks/4NjnUgoNyyS1N1EuUpBNBX,audio_features,spotify:track:4NjnUgoNyyS1N1EuUpBNBX,0.427
