,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,,0.0217,https://api.spotify.com/v1/audio-analysis/62L2PaETBJ7gf0xWQ6Tz3Y,0.362,342152.0,0.926,62L2PaETBJ7gf0xWQ6Tz3Y,0.925,5.0,0.0686,-4.95,1.0,0.0435,174.003,4.0,https://api.spotify.com/v1/tracks/62L2PaETBJ7gf0xWQ6Tz3Y,audio_features,spotify:track:62L2PaETBJ7gf0xWQ6Tz3Y,0.0518
17,,0.0542,https://api.spotify.com/v1/audio-analysis/5fZUHpBrDoTseF9hSxrhkD,0.566,350345.0,0.986,5fZUHpBrDoTseF9hSxrhkD,9.5e-06,1.0,0.388,-0.294,0.0,0.243,174.002,4.0,https://api.spotify.com/v1/tracks/5fZUHpBrDoTseF9hSxrhkD,audio_features,spotify:track:5fZUHpBrDoTseF9hSxrhkD,0.564
18,,0.000739,https://api.spotify.com/v1/audio-analysis/2H49Jxc0Cj7KTvsYRTpcGE,0.667,387920.0,0.83,2H49Jxc0Cj7KTvsYRTpcGE,0.814,10.0,0.0865,-2.447,0.0,0.0699,86.966,4.0,https://api.spotify.com/v1/tracks/2H49Jxc0Cj7KTvsYRTpcGE,audio_features,spotify:track:2H49Jxc0Cj7KTvsYRTpcGE,0.183
19,,0.158,https://api.spotify.com/v1/audio-analysis/0jORy3mr0UA6uW9IUkgfep,0.61,328649.0,0.645,0jORy3mr0UA6uW9IUkgfep,0.889,8.0,0.448,-6.485,1.0,0.0396,169.973,4.0,https://api.spotify.com/v1/tracks/0jORy3mr0UA6uW9IUkgfep,audio_features,spotify:track:0jORy3mr0UA6uW9IUkgfep,0.506
20,,0.226,https://api.spotify.com/v1/audio-analysis/0fTHMT2hHppGd9Qer2yb3V,0.654,273107.0,0.93,0fTHMT2hHppGd9Qer2yb3V,0.00349,7.0,0.453,-8.397,1.0,0.206,165.903,4.0,https://api.spotify.com/v1/tracks/0fTHMT2hHppGd9Qer2yb3V,audio_features,spotify:track:0fTHMT2hHppGd9Qer2yb3V,0.65
21,,0.000558,https://api.spotify.com/v1/audio-analysis/6bqGnJiCScYkIHYPXEtpfg,0.645,278187.0,0.897,6bqGnJiCScYkIHYPXEtpfg,0.169,5.0,0.0787,-3.063,1.0,0.0874,173.969,4.0,https://api.spotify.com/v1/tracks/6bqGnJiCScYkIHYPXEtpfg,audio_features,spotify:track:6bqGnJiCScYkIHYPXEtpfg,0.117
22,,0.000273,https://api.spotify.com/v1/audio-analysis/5UYvlwLBx4YLrYF271mZe0,0.533,273443.0,0.888,5UYvlwLBx4YLrYF271mZe0,0.475,10.0,0.0542,-2.945,0.0,0.0456,174.034,4.0,https://api.spotify.com/v1/tracks/5UYvlwLBx4YLrYF271mZe0,audio_features,spotify:track:5UYvlwLBx4YLrYF271mZe0,0.332
23,,1.52e-05,https://api.spotify.com/v1/audio-analysis/35xP3VTDY3zDHInipdCYpf,0.629,248276.0,0.924,35xP3VTDY3zDHInipdCYpf,0.434,2.0,0.337,-3.785,1.0,0.0398,175.023,4.0,https://api.spotify.com/v1/tracks/35xP3VTDY3zDHInipdCYpf,audio_features,spotify:track:35xP3VTDY3zDHInipdCYpf,0.19
24,,0.182,https://api.spotify.com/v1/audio-analysis/2xp7VQUehmnBhiktsT5Dhx,0.554,271746.0,0.844,2xp7VQUehmnBhiktsT5Dhx,0.921,10.0,0.174,-3.135,1.0,0.0313,87.51,4.0,https://api.spotify.com/v1/tracks/2xp7VQUehmnBhiktsT5Dhx,audio_features,spotify:track:2xp7VQUehmnBhiktsT5Dhx,0.292
25,,0.000404,https://api.spotify.com/v1/audio-analysis/588TIiNqDWazxZcxe2hRIE,0.533,259397.0,0.919,588TIiNqDWazxZcxe2hRIE,0.185,4.0,0.525,-3.395,1.0,0.0477,173.972,4.0,https://api.spotify.com/v1/tracks/588TIiNqDWazxZcxe2hRIE,audio_features,spotify:track:588TIiNqDWazxZcxe2hRIE,0.23
